question,study_area,option_a,option_b,option_c,optiopn_d,correct_answer,incorrect_answer_response
"When the pizza comes, he says…",Pairings,Bring the Chianti!,Fetch the Sauternes!,Open that Port!,,A,
Giuseppe’s cure for a dreary day?,Styles,A bright rosé,A burnt espresso,A flat cola,,A,
Orange wine is made by…,Styles,Blending red/white,Using orange fruit,Skin-contact white grapes,,C,
What is the main grape in Brunello di Montalcino?,Grapes,Nebbiolo,Sangiovese,Barbera,,B,
Aglianico is most associated with…,Grapes,Campania/Basilicata,Piedmont/Lombardy,Sicily/Sardinia,,A,
Furmint is a key variety in…,Grapes,Rioja,Tokaj,Vinho Verde,,B,
What does 'riserva' (Italy) generally signal?,Styles,Longer aging,Higher sweetness,Lower alcohol,,A,
What does 'riserva' (Italy) generally signal?,Styles,Longer aging,Lower alcohol,Higher sweetness,,A,
Vouvray is made from…,Regions and Appellations,Viognier,Chenin Blanc,Sauvignon Blanc,,B,
What is the base wine style of Port?,Styles,Unoaked white,Fortified sweet red,Dry sparkling,,B,
"If pasta is al dente, wine should be…",Pairings,Al dente in spirit: lively,Flat and sleepy,Boiling hot,,A,
"For beach days, Giuseppe brings…",Pairings,Hot mulled wine,Albariño,Vintage Madeira,,B,
Which toast wins Giuseppe’s heart?,Pairings,Skål!,Salute!,Prozit!,,B,
Which grape makes Barolo?,Regions and Appellations,Sangiovese,Nebbiolo,Montepulciano,,B,
Prosecco uses which production method?,Classifications,Tank (Charmat),Solera system,Traditional method,,A,
Albariño is a specialty of which Spanish region?,Styles,Rías Baixas,Ribera del Duero,Priorat,,A,
Vouvray is made from…,Regions and Appellations,Viognier,Sauvignon Blanc,Chenin Blanc,,C,
What pairs with pizza on a Tuesday?,Pairings,Sauternes,Vintage Port,Sangiovese,,C,
Champagne sweetness: which is driest?,Regions and Appellations,Sec,Demi-sec,Brut Nature,,C,
What style is Vinho Verde usually known for?,Styles,"Heavy, oaky reds",Fortified dessert wines,"Light, crisp whites",,C,
"If pasta is al dente, wine should be…",Pairings,Boiling hot,Flat and sleepy,Al dente in spirit: lively,,C,
What does 'Brut' indicate on sparkling wine?,Classifications,Rosé style,Sweet style,Dry style,,C,
Champagne sweetness: which is driest?,Regions and Appellations,Brut Nature,Demi-sec,Sec,,A,
Chianti is dominated by which grape?,Regions and Appellations,Nebbiolo,Sangiovese,Aglianico,,B,
Which climate tends to give higher acidity?,Styles,Cool climate,Hot climate,Arid desert,,A,
What’s the best pairing for laughter?,Pairings,Only bottled water,Good friends and good wine,Silence and spreadsheets,,B,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A 40-year Port,A cheerful Chianti,A brooding Amarone,,B,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A cheerful Chianti,A brooding Amarone,A 40-year Port,,A,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A brooding Amarone,A 40-year Port,A cheerful Chianti,,C,
Rioja is primarily associated with which grape?,Regions and Appellations,Mazuelo,Tempranillo,Garnacha,,B,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Central Otago,Marlborough,Hawke's Bay,,B,
"When the pizza comes, he says…",Pairings,Bring the Chianti!,Open that Port!,Fetch the Sauternes!,,A,
Where is Priorat?,Regions and Appellations,"Alentejo, Portugal","Catalonia, Spain","Puglia, Italy",,B,
What does Giuseppe call tannins?,Styles,The handshake of a wine,Its passport,Its resume,,A,
"If a wine is 'corked', it smells like…",Styles,"Musty, wet cardboard",Clean citrus,Fresh flowers,,A,
Which Italian region is Barbaresco from?,Regions and Appellations,Piedmont,Veneto,Tuscany,,A,
What does Giuseppe say the swirl is for?,Styles,Letting aromas dance,Counting the legs,Hypnotizing your date,,A,
What does Giuseppe say the swirl is for?,Styles,Counting the legs,Letting aromas dance,Hypnotizing your date,,B,
Giuseppe’s rule on ice in wine?,Styles,Only in Champagne,Never ever!,Do what you love,,C,
Prosecco uses which production method?,Classifications,Traditional method,Solera system,Tank (Charmat),,C,
What’s the best pairing for laughter?,Pairings,Good friends and good wine,Only bottled water,Silence and spreadsheets,,A,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Central Otago,Marlborough,Hawke's Bay,,B,
What flavor can oak impart?,Styles,Vanilla,Black pepper only,Lime leaf,,A,
Which wine is usually off-dry and low alcohol in Germany?,Styles,Kabinett Riesling,Spätburgunder,Silvaner Trocken,,A,
What is 'carbonic maceration' known for?,Styles,Fortified wines,"Juicy, low-tannin reds",High tannin whites,,B,
Which region produces Chablis?,Regions and Appellations,Loire Valley,Burgundy,Rhone,,B,
"For beach days, Giuseppe brings…",Pairings,Hot mulled wine,Albariño,Vintage Madeira,,B,
What pairs with pizza on a Tuesday?,Pairings,Sauternes,Sangiovese,Vintage Port,,B,
What pairs with pizza on a Tuesday?,Pairings,Sauternes,Vintage Port,Sangiovese,,C,
The wine for dancing in the kitchen?,Pairings,Barolo,Lambrusco,Amontillado,,B,
What does 'Brut' indicate on sparkling wine?,Classifications,Dry style,Sweet style,Rosé style,,A,
Which region is famous for Malbec?,Grapes,Burgundy,Mendoza,Rioja,,B,
His advice for opening night nerves?,Styles,Pop a Prosecco,Hide the bottle,Decant for 6 hours,,A,
Giuseppe’s rule on ice in wine?,Styles,Do what you love,Only in Champagne,Never ever!,,A,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Potato chips,Steak tartare,Gazpacho,,A,
The wine for dancing in the kitchen?,Pairings,Lambrusco,Amontillado,Barolo,,A,
Which country created Carmenère revival?,Grapes,Uruguay,Chile,Argentina,,B,
Which grape makes Barolo?,Regions and Appellations,Sangiovese,Nebbiolo,Montepulciano,,B,
What’s the best pairing for laughter?,Pairings,Silence and spreadsheets,Good friends and good wine,Only bottled water,,B,
Which country created Carmenère revival?,Grapes,Chile,Uruguay,Argentina,,A,
Giuseppe’s travel essential?,Styles,Spare tie,Fondue set,Corkscrew,,C,
Which region produces Chablis?,Regions and Appellations,Burgundy,Loire Valley,Rhone,,A,
What is typical of Rosé production?,Styles,Limited skin contact,Full skin maceration,No skins used at all,,A,
What does Giuseppe call tannins?,Styles,The handshake of a wine,Its resume,Its passport,,A,
The wine for dancing in the kitchen?,Pairings,Barolo,Lambrusco,Amontillado,,B,
Orange wine is made by…,Styles,Using orange fruit,Blending red/white,Skin-contact white grapes,,C,
What is the base wine style of Port?,Styles,Dry sparkling,Fortified sweet red,Unoaked white,,B,
Grüner Veltliner often shows…,Grapes,White pepper,Coconut,Coffee,,A,
Which climate tends to give higher acidity?,Styles,Cool climate,Arid desert,Hot climate,,A,
Furmint is a key variety in…,Grapes,Tokaj,Rioja,Vinho Verde,,A,
Prosecco uses which production method?,Classifications,Tank (Charmat),Traditional method,Solera system,,A,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Hawke's Bay,Marlborough,Central Otago,,B,
What aroma is classic in aged Riesling?,Grapes,Banana,Peppercorn,Petrol/honey,,C,
What does Giuseppe say the swirl is for?,Styles,Hypnotizing your date,Counting the legs,Letting aromas dance,,C,
Which toast wins Giuseppe’s heart?,Pairings,Salute!,Skål!,Prozit!,,A,
Vouvray is made from…,Regions and Appellations,Viognier,Chenin Blanc,Sauvignon Blanc,,B,
"For beach days, Giuseppe brings…",Pairings,Vintage Madeira,Albariño,Hot mulled wine,,B,
"For beach days, Giuseppe brings…",Pairings,Hot mulled wine,Albariño,Vintage Madeira,,B,
Giuseppe’s travel essential?,Styles,Fondue set,Spare tie,Corkscrew,,C,
What glass suits full-bodied reds?,Styles,Coupe,Flute,Large bowl,,C,
What is 'botrytis' known for in wine?,Styles,Sparkling bubbles,Noble rot for sweet wines,Bacterial spoilage,,B,
Love at first sniff smells like…,Styles,Wild strawberries,Tire rubber,Wet dog,,A,
His advice for opening night nerves?,Styles,Decant for 6 hours,Hide the bottle,Pop a Prosecco,,C,
Giuseppe’s midnight fridge raid finds…,Pairings,Mulled wine,Leftover Vermentino,Warm Merlot,,B,
Which region produces Chablis?,Regions and Appellations,Rhone,Burgundy,Loire Valley,,B,
Giuseppe’s rule on ice in wine?,Styles,Do what you love,Only in Champagne,Never ever!,,A,
Giuseppe’s midnight fridge raid finds…,Pairings,Warm Merlot,Mulled wine,Leftover Vermentino,,C,
Champagne sweetness: which is driest?,Regions and Appellations,Brut Nature,Demi-sec,Sec,,A,
"If pasta is al dente, wine should be…",Pairings,Boiling hot,Flat and sleepy,Al dente in spirit: lively,,C,
What is 'botrytis' known for in wine?,Styles,Bacterial spoilage,Sparkling bubbles,Noble rot for sweet wines,,C,
Giuseppe’s cure for a dreary day?,Styles,A flat cola,A burnt espresso,A bright rosé,,C,
Giuseppe’s favorite sound in a quiet room?,Styles,A cork sighing,An ice cube clink,A microwave beep,,A,
What does Giuseppe say the swirl is for?,Styles,Letting aromas dance,Counting the legs,Hypnotizing your date,,A,
What does Giuseppe call tannins?,Styles,Its passport,The handshake of a wine,Its resume,,B,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Dry to sweet with high acidity,Always fortified,Always sparkling,,A,
The wine for dancing in the kitchen?,Pairings,Lambrusco,Barolo,Amontillado,,A,
His advice for opening night nerves?,Styles,Hide the bottle,Decant for 6 hours,Pop a Prosecco,,C,
Most Lambrusco is…,Pairings,Still white,Fortified rosé,Lightly sparkling red,,C,
What does Giuseppe call tannins?,Styles,The handshake of a wine,Its resume,Its passport,,A,
The wine for dancing in the kitchen?,Pairings,Amontillado,Barolo,Lambrusco,,C,
Alsace Grand Cru is typically…,Classifications,Fortified dessert reds,Single-varietal whites,Red blends,,B,
The wine for dancing in the kitchen?,Pairings,Barolo,Amontillado,Lambrusco,,C,
Sauternes is primarily made from…,Regions and Appellations,Sauvignon Gris,Gewürztraminer,Sémillon,,C,
Albariño is a specialty of which Spanish region?,Styles,Priorat,Rías Baixas,Ribera del Duero,,B,
Which country created Carmenère revival?,Grapes,Chile,Uruguay,Argentina,,A,
Furmint is a key variety in…,Grapes,Vinho Verde,Rioja,Tokaj,,C,
Beaujolais is mostly made from which grape?,Grapes,Gamay,Pinot Noir,Syrah,,A,
Albariño is a specialty of which Spanish region?,Styles,Ribera del Duero,Rías Baixas,Priorat,,B,
Rioja is primarily associated with which grape?,Regions and Appellations,Garnacha,Mazuelo,Tempranillo,,C,
Chianti is dominated by which grape?,Regions and Appellations,Aglianico,Nebbiolo,Sangiovese,,C,
Champagne sweetness: which is driest?,Regions and Appellations,Sec,Brut Nature,Demi-sec,,B,
What pairs with pizza on a Tuesday?,Pairings,Vintage Port,Sangiovese,Sauternes,,B,
His advice for opening night nerves?,Styles,Decant for 6 hours,Pop a Prosecco,Hide the bottle,,B,
What does Giuseppe call tannins?,Styles,The handshake of a wine,Its resume,Its passport,,A,
Rioja is primarily associated with which grape?,Regions and Appellations,Tempranillo,Mazuelo,Garnacha,,A,
Which climate tends to give higher acidity?,Styles,Hot climate,Arid desert,Cool climate,,C,
Which wine has highest typical tannin?,Styles,Muscadet,Beaujolais Nouveau,Barolo,,C,
Sancerre is typically made from which grape?,Grapes,Chenin Blanc,Chardonnay,Sauvignon Blanc,,C,
What is typical of Rosé production?,Styles,Full skin maceration,No skins used at all,Limited skin contact,,C,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A cheerful Chianti,A 40-year Port,A brooding Amarone,,A,
Most Lambrusco is…,Pairings,Still white,Fortified rosé,Lightly sparkling red,,C,
Which region produces Chablis?,Regions and Appellations,Loire Valley,Burgundy,Rhone,,B,
What aroma is classic in aged Riesling?,Grapes,Banana,Peppercorn,Petrol/honey,,C,
What is 'carbonic maceration' known for?,Styles,Fortified wines,High tannin whites,"Juicy, low-tannin reds",,C,
Sherry can be biologically aged under…,Styles,Lees,Botrytis,Flor,,C,
Beaujolais is mostly made from which grape?,Grapes,Syrah,Pinot Noir,Gamay,,C,
Chianti is dominated by which grape?,Regions and Appellations,Nebbiolo,Sangiovese,Aglianico,,B,
What pairs with pizza on a Tuesday?,Pairings,Sangiovese,Vintage Port,Sauternes,,A,
"When the pizza comes, he says…",Pairings,Bring the Chianti!,Open that Port!,Fetch the Sauternes!,,A,
Which grape makes Barolo?,Regions and Appellations,Montepulciano,Nebbiolo,Sangiovese,,B,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Dry to sweet with high acidity,Always sparkling,Always fortified,,A,
‘Sur lie’ aging means aging on the…,Styles,Grape skins,Lees (dead yeast),Stems,,B,
Furmint is a key variety in…,Grapes,Vinho Verde,Rioja,Tokaj,,C,
Giuseppe’s cure for a dreary day?,Styles,A bright rosé,A flat cola,A burnt espresso,,A,
Orange wine is made by…,Styles,Using orange fruit,Blending red/white,Skin-contact white grapes,,C,
What glass suits full-bodied reds?,Styles,Large bowl,Coupe,Flute,,A,
What does decanting an old red help with?,Styles,Adding sugar,Raising alcohol,Sediment separation,,C,
What is 'botrytis' known for in wine?,Styles,Noble rot for sweet wines,Bacterial spoilage,Sparkling bubbles,,A,
Tannins in wine come mostly from…,Styles,Filtration,Fermentation temperature,"Skins, seeds, and oak",,C,
Rioja is primarily associated with which grape?,Regions and Appellations,Mazuelo,Tempranillo,Garnacha,,B,
Which region is famous for Sauvignon Blanc in NZ?,Grapes,Marlborough,Central Otago,Hawke's Bay,,A,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A cheerful Chianti,A brooding Amarone,A 40-year Port,,A,
Sherry can be biologically aged under…,Styles,Botrytis,Lees,Flor,,C,
Which wine is typically un-oaked?,Styles,Napa Chardonnay,Reserva Rioja,Muscadet,,C,
Giuseppe’s midnight fridge raid finds…,Pairings,Leftover Vermentino,Warm Merlot,Mulled wine,,A,
Giuseppe’s favorite sound in a quiet room?,Styles,A microwave beep,A cork sighing,An ice cube clink,,B,
Giuseppe’s midnight fridge raid finds…,Pairings,Leftover Vermentino,Mulled wine,Warm Merlot,,A,
Giuseppe’s favorite sound in a quiet room?,Styles,A microwave beep,A cork sighing,An ice cube clink,,B,
Albariño is a specialty of which Spanish region?,Styles,Priorat,Rías Baixas,Ribera del Duero,,B,
Giuseppe’s travel essential?,Styles,Spare tie,Fondue set,Corkscrew,,C,
What’s the secret ingredient in hospitality?,Pairings,A loud cork pop,A strict rulebook,A generous pour,,C,
Sancerre is typically made from which grape?,Grapes,Chardonnay,Sauvignon Blanc,Chenin Blanc,,B,
What’s the best pairing for laughter?,Pairings,Good friends and good wine,Only bottled water,Silence and spreadsheets,,A,
Where is Priorat?,Regions and Appellations,"Puglia, Italy","Alentejo, Portugal","Catalonia, Spain",,C,
What does Giuseppe call tannins?,Styles,The handshake of a wine,Its resume,Its passport,,A,
What’s the secret ingredient in hospitality?,Pairings,A strict rulebook,A generous pour,A loud cork pop,,B,
What is the classic pairing for oysters?,Pairings,Muscadet or Champagne,Amarone,Cabernet Sauvignon,,A,
Which wine is typically un-oaked?,Styles,Muscadet,Reserva Rioja,Napa Chardonnay,,A,
What is the main grape in Brunello di Montalcino?,Grapes,Barbera,Sangiovese,Nebbiolo,,B,
Provence Rosé is usually…,Regions and Appellations,Deep and sweet,Fortified,Pale and dry,,C,
Sauternes is primarily made from…,Regions and Appellations,Gewürztraminer,Sauvignon Gris,Sémillon,,C,
What aroma is classic in aged Riesling?,Grapes,Banana,Petrol/honey,Peppercorn,,B,
What aroma is classic in aged Riesling?,Grapes,Banana,Petrol/honey,Peppercorn,,B,
What’s the secret ingredient in hospitality?,Pairings,A strict rulebook,A generous pour,A loud cork pop,,B,
The wine for dancing in the kitchen?,Pairings,Lambrusco,Barolo,Amontillado,,A,
What grape dominates Left Bank Bordeaux?,Regions and Appellations,Cabernet Sauvignon,Merlot,Syrah,,A,
Which region is famous for Malbec?,Grapes,Mendoza,Burgundy,Rioja,,A,
What does 'Brut' indicate on sparkling wine?,Classifications,Dry style,Rosé style,Sweet style,,A,
What is the classic pairing for oysters?,Pairings,Muscadet or Champagne,Cabernet Sauvignon,Amarone,,A,
Classic Loire Chenin Blanc can be…,Regions and Appellations,Dry to sweet with high acidity,Always sparkling,Always fortified,,A,
Which region produces Chablis?,Regions and Appellations,Loire Valley,Burgundy,Rhone,,B,
What does 'riserva' (Italy) generally signal?,Styles,Lower alcohol,Longer aging,Higher sweetness,,B,
What does 'DOCG' stand for?,Classifications,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,Denominazione di Origine Controllata e Garantita,,C,
What’s the best pairing for laughter?,Pairings,Good friends and good wine,Only bottled water,Silence and spreadsheets,,A,
What is the base wine style of Port?,Styles,Fortified sweet red,Unoaked white,Dry sparkling,,A,
What is the classic pairing for oysters?,Pairings,Cabernet Sauvignon,Amarone,Muscadet or Champagne,,C,
What is the base wine style of Port?,Styles,Dry sparkling,Fortified sweet red,Unoaked white,,B,
Which climate tends to give higher acidity?,Styles,Cool climate,Hot climate,Arid desert,,A,
"For beach days, Giuseppe brings…",Pairings,Albariño,Vintage Madeira,Hot mulled wine,,A,
Which grape makes Barolo?,Regions and Appellations,Sangiovese,Nebbiolo,Montepulciano,,B,
Which grape makes Barolo?,Regions and Appellations,Sangiovese,Nebbiolo,Montepulciano,,B,
Beaujolais is mostly made from which grape?,Grapes,Pinot Noir,Gamay,Syrah,,B,
"When the pizza comes, he says…",Pairings,Bring the Chianti!,Fetch the Sauternes!,Open that Port!,,A,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A brooding Amarone,A cheerful Chianti,A 40-year Port,,B,
What does 'riserva' (Italy) generally signal?,Styles,Higher sweetness,Longer aging,Lower alcohol,,B,
Love at first sniff smells like…,Styles,Wet dog,Tire rubber,Wild strawberries,,C,
What grape dominates Left Bank Bordeaux?,Regions and Appellations,Syrah,Cabernet Sauvignon,Merlot,,B,
"If pasta is al dente, wine should be…",Pairings,Boiling hot,Flat and sleepy,Al dente in spirit: lively,,C,
What does Giuseppe say the swirl is for?,Styles,Hypnotizing your date,Letting aromas dance,Counting the legs,,B,
Which Italian region is Barbaresco from?,Regions and Appellations,Tuscany,Veneto,Piedmont,,C,
"For beach days, Giuseppe brings…",Pairings,Albariño,Hot mulled wine,Vintage Madeira,,A,
What is typical of Rosé production?,Styles,No skins used at all,Full skin maceration,Limited skin contact,,C,
Orange wine is made by…,Styles,Skin-contact white grapes,Using orange fruit,Blending red/white,,A,
What style is Vinho Verde usually known for?,Styles,Fortified dessert wines,"Light, crisp whites","Heavy, oaky reds",,B,
Alsace Grand Cru is typically…,Classifications,Single-varietal whites,Fortified dessert reds,Red blends,,A,
Albariño is a specialty of which Spanish region?,Styles,Rías Baixas,Priorat,Ribera del Duero,,A,
What is the classic pairing for oysters?,Pairings,Cabernet Sauvignon,Amarone,Muscadet or Champagne,,C,
Grüner Veltliner often shows…,Grapes,White pepper,Coffee,Coconut,,A,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Potato chips,Gazpacho,Steak tartare,,A,
Aglianico is most associated with…,Grapes,Piedmont/Lombardy,Sicily/Sardinia,Campania/Basilicata,,C,
Beaujolais is mostly made from which grape?,Grapes,Pinot Noir,Syrah,Gamay,,C,
Which wine is usually off-dry and low alcohol in Germany?,Styles,Spätburgunder,Kabinett Riesling,Silvaner Trocken,,B,
What pairs with pizza on a Tuesday?,Pairings,Sauternes,Sangiovese,Vintage Port,,B,
Sauternes is primarily made from…,Regions and Appellations,Sémillon,Gewürztraminer,Sauvignon Gris,,A,
What does Giuseppe call tannins?,Styles,Its resume,The handshake of a wine,Its passport,,B,
Giuseppe’s midnight fridge raid finds…,Pairings,Warm Merlot,Mulled wine,Leftover Vermentino,,C,
What pairs with pizza on a Tuesday?,Pairings,Sangiovese,Vintage Port,Sauternes,,A,
"For beach days, Giuseppe brings…",Pairings,Hot mulled wine,Vintage Madeira,Albariño,,C,
Which toast wins Giuseppe’s heart?,Pairings,Prozit!,Skål!,Salute!,,C,
Which region is famous for Malbec?,Grapes,Rioja,Burgundy,Mendoza,,C,
Love at first sniff smells like…,Styles,Wet dog,Wild strawberries,Tire rubber,,B,
What flavor can oak impart?,Styles,Vanilla,Lime leaf,Black pepper only,,A,
Which wine is usually off-dry and low alcohol in Germany?,Styles,Spätburgunder,Silvaner Trocken,Kabinett Riesling,,C,
What does 'riserva' (Italy) generally signal?,Styles,Lower alcohol,Higher sweetness,Longer aging,,C,
What does 'Brut' indicate on sparkling wine?,Classifications,Dry style,Sweet style,Rosé style,,A,
Best wine for a long talk at sunset?,Styles,Super Tuscan monster,Pinot Noir,Tequila… not wine!,,B,
Champagne sweetness: which is driest?,Regions and Appellations,Brut Nature,Sec,Demi-sec,,A,
His advice for opening night nerves?,Styles,Decant for 6 hours,Pop a Prosecco,Hide the bottle,,B,
"If a wine is 'corked', it smells like…",Styles,Clean citrus,"Musty, wet cardboard",Fresh flowers,,B,
What does 'Brut' indicate on sparkling wine?,Classifications,Sweet style,Rosé style,Dry style,,C,
What’s the best pairing for laughter?,Pairings,Only bottled water,Silence and spreadsheets,Good friends and good wine,,C,
What is typical of Rosé production?,Styles,No skins used at all,Limited skin contact,Full skin maceration,,B,
Aglianico is most associated with…,Grapes,Sicily/Sardinia,Piedmont/Lombardy,Campania/Basilicata,,C,
Which region produces Chablis?,Regions and Appellations,Rhone,Loire Valley,Burgundy,,C,
Giuseppe’s travel essential?,Styles,Fondue set,Spare tie,Corkscrew,,C,
Sherry can be biologically aged under…,Styles,Flor,Botrytis,Lees,,A,
What pairs with pizza on a Tuesday?,Pairings,Vintage Port,Sangiovese,Sauternes,,B,
What’s the secret ingredient in hospitality?,Pairings,A generous pour,A strict rulebook,A loud cork pop,,A,
What is the base wine style of Port?,Styles,Unoaked white,Fortified sweet red,Dry sparkling,,B,
Prosecco uses which production method?,Classifications,Tank (Charmat),Traditional method,Solera system,,A,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Gazpacho,Potato chips,Steak tartare,,B,
Giuseppe’s rule on ice in wine?,Styles,Do what you love,Only in Champagne,Never ever!,,A,
Which country created Carmenère revival?,Grapes,Chile,Uruguay,Argentina,,A,
Provence Rosé is usually…,Regions and Appellations,Pale and dry,Deep and sweet,Fortified,,A,
What aroma is classic in aged Riesling?,Grapes,Peppercorn,Banana,Petrol/honey,,C,
"If a wine is 'corked', it smells like…",Styles,Clean citrus,Fresh flowers,"Musty, wet cardboard",,C,
What’s the best pairing for laughter?,Pairings,Silence and spreadsheets,Only bottled water,Good friends and good wine,,C,
"When the pizza comes, he says…",Pairings,Fetch the Sauternes!,Bring the Chianti!,Open that Port!,,B,
What aroma is classic in aged Riesling?,Grapes,Petrol/honey,Banana,Peppercorn,,A,
Which wine is usually off-dry and low alcohol in Germany?,Styles,Kabinett Riesling,Silvaner Trocken,Spätburgunder,,A,
Amarone is produced by…,Regions and Appellations,Appassimento (dried grapes),Free-run juice only,Carbonic maceration,,A,
Love at first sniff smells like…,Styles,Tire rubber,Wild strawberries,Wet dog,,B,
What does 'DOCG' stand for?,Classifications,Denominazione di Origine Classico Garantito,Denominazione di Origine Controllata e Garantita,Denominazione di Qualità Garantita,,B,
What does decanting an old red help with?,Styles,Raising alcohol,Adding sugar,Sediment separation,,C,
What aroma is classic in aged Riesling?,Grapes,Petrol/honey,Banana,Peppercorn,,A,
Vouvray is made from…,Regions and Appellations,Viognier,Sauvignon Blanc,Chenin Blanc,,C,
Sauternes is primarily made from…,Regions and Appellations,Sémillon,Sauvignon Gris,Gewürztraminer,,A,
The wine for dancing in the kitchen?,Pairings,Amontillado,Barolo,Lambrusco,,C,
"When the pizza comes, he says…",Pairings,Bring the Chianti!,Fetch the Sauternes!,Open that Port!,,A,
What is 'carbonic maceration' known for?,Styles,Fortified wines,High tannin whites,"Juicy, low-tannin reds",,C,
Which wine is typically un-oaked?,Styles,Napa Chardonnay,Reserva Rioja,Muscadet,,C,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Steak tartare,Potato chips,Gazpacho,,B,
What glass suits full-bodied reds?,Styles,Large bowl,Coupe,Flute,,A,
What’s the best pairing for laughter?,Pairings,Only bottled water,Good friends and good wine,Silence and spreadsheets,,B,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Potato chips,Steak tartare,Gazpacho,,A,
"For beach days, Giuseppe brings…",Pairings,Vintage Madeira,Albariño,Hot mulled wine,,B,
Beaujolais is mostly made from which grape?,Grapes,Gamay,Pinot Noir,Syrah,,A,
Which climate tends to give higher acidity?,Styles,Arid desert,Cool climate,Hot climate,,B,
Sherry can be biologically aged under…,Styles,Flor,Lees,Botrytis,,A,
Giuseppe’s cure for a dreary day?,Styles,A flat cola,A burnt espresso,A bright rosé,,C,
Provence Rosé is usually…,Regions and Appellations,Deep and sweet,Fortified,Pale and dry,,C,
Grüner Veltliner often shows…,Grapes,Coffee,Coconut,White pepper,,C,
What is 'botrytis' known for in wine?,Styles,Noble rot for sweet wines,Sparkling bubbles,Bacterial spoilage,,A,
Giuseppe’s cure for a dreary day?,Styles,A bright rosé,A flat cola,A burnt espresso,,A,
Which climate tends to give higher acidity?,Styles,Hot climate,Arid desert,Cool climate,,C,
What does Giuseppe say the swirl is for?,Styles,Hypnotizing your date,Letting aromas dance,Counting the legs,,B,
Which country created Carmenère revival?,Grapes,Argentina,Chile,Uruguay,,B,
The wine for dancing in the kitchen?,Pairings,Lambrusco,Amontillado,Barolo,,A,
Which toast wins Giuseppe’s heart?,Pairings,Prozit!,Salute!,Skål!,,B,
What does 'riserva' (Italy) generally signal?,Styles,Longer aging,Higher sweetness,Lower alcohol,,A,
Giuseppe’s rule on ice in wine?,Styles,Never ever!,Only in Champagne,Do what you love,,C,
Giuseppe’s midnight fridge raid finds…,Pairings,Leftover Vermentino,Mulled wine,Warm Merlot,,A,
What grape dominates Left Bank Bordeaux?,Regions and Appellations,Syrah,Merlot,Cabernet Sauvignon,,C,
Rioja is primarily associated with which grape?,Regions and Appellations,Tempranillo,Mazuelo,Garnacha,,A,
What does Giuseppe call tannins?,Styles,Its passport,The handshake of a wine,Its resume,,B,
Giuseppe’s guilty pleasure snack with bubbles?,Pairings,Steak tartare,Potato chips,Gazpacho,,B,
Beaujolais is mostly made from which grape?,Grapes,Syrah,Pinot Noir,Gamay,,C,
Champagne sweetness: which is driest?,Regions and Appellations,Brut Nature,Demi-sec,Sec,,A,
Beaujolais is mostly made from which grape?,Grapes,Gamay,Pinot Noir,Syrah,,A,
"If Giuseppe brings wine to a picnic, what’s likely?",Pairings,A cheerful Chianti,A brooding Amarone,A 40-year Port,,A,
What does 'riserva' (Italy) generally signal?,Styles,Lower alcohol,Longer aging,Higher sweetness,,B,
Giuseppe’s travel essential?,Styles,Spare tie,Fondue set,Corkscrew,,C,
"When the pizza comes, he says…",Pairings,Bring the Chianti!,Fetch the Sauternes!,Open that Port!,,A,
Grüner Veltliner often shows…,Grapes,Coconut,White pepper,Coffee,,B,
Best wine for a long talk at sunset?,Styles,Super Tuscan monster,Tequila… not wine!,Pinot Noir,,C,
Which region produces Chablis?,Regions and Appellations,Burgundy,Loire Valley,Rhone,,A,
Giuseppe’s cure for a dreary day?,Styles,A flat cola,A bright rosé,A burnt espresso,,B,
Grüner Veltliner often shows…,Grapes,Coffee,White pepper,Coconut,,B,
Which region produces Chablis?,Regions and Appellations,Loire Valley,Rhone,Burgundy,,C,
What’s the secret ingredient in hospitality?,Pairings,A loud cork pop,A generous pour,A strict rulebook,,B,
Alsace Grand Cru is typically…,Classifications,Red blends,Fortified dessert reds,Single-varietal whites,,C,
What does 'Brut' indicate on sparkling wine?,Classifications,Sweet style,Rosé style,Dry style,,C,
What is the base wine style of Port?,Styles,Dry sparkling,Fortified sweet red,Unoaked white,,B,
His advice for opening night nerves?,Styles,Hide the bottle,Decant for 6 hours,Pop a Prosecco,,C,
Champagne sweetness: which is driest?,Regions and Appellations,Sec,Brut Nature,Demi-sec,,B,
