question,option_a,option_b,option_c,option_d,correct_answer,incorrect_answer,study_area
The wine for dancing in the kitchen?,Amontillado,Barolo,Lambrusco,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Pairings
What does Giuseppe say the swirl is for?,Hypnotizing your date,Counting the legs,Letting aromas dance,Cava,C,Close! Swirl the glass and give it another go.,Styles
What does Giuseppe call tannins?,Its passport,The handshake of a wine,Its resume,Barolo,B,Close! Swirl the glass and give it another go.,Styles
What glass suits full-bodied reds?,Flute,Large bowl,Coupe,Chianti Classico,B,Close! Swirl the glass and give it another go.,Styles
"When the pizza comes, he says…",Open that Port!,Bring the Chianti!,Fetch the Sauternes!,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Pairings
Which region is famous for Sauvignon Blanc in NZ?,Marlborough,Hawke's Bay,Central Otago,Cava,A,Close! Swirl the glass and give it another go.,Grapes
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Leftover Vermentino,Mulled wine,Muscadet,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What does 'DOCG' stand for?,Denominazione di Qualità Garantita,Denominazione di Origine Controllata e Garantita,Denominazione di Origine Classico Garantito,Cava,B,Not quite—Giuseppe says take another sip and try again.,Classifications
Which region is famous for Malbec?,Mendoza,Burgundy,Rioja,Prosecco,A,Close! Swirl the glass and give it another go.,Grapes
What does decanting an old red help with?,Raising alcohol,Sediment separation,Adding sugar,Barolo,B,Close! Swirl the glass and give it another go.,Styles
Best wine for a long talk at sunset?,Tequila… not wine!,Super Tuscan monster,Pinot Noir,Albariño,C,Not quite—Giuseppe says take another sip and try again.,Styles
Prosecco uses which production method?,Solera system,Traditional method,Tank (Charmat),Sauternes,C,Close! Swirl the glass and give it another go.,Classifications
Which region is famous for Sauvignon Blanc in NZ?,Marlborough,Central Otago,Hawke's Bay,Port,A,Close! Swirl the glass and give it another go.,Grapes
"When the pizza comes, he says…",Fetch the Sauternes!,Bring the Chianti!,Open that Port!,Rosé,B,Close! Swirl the glass and give it another go.,Pairings
Which region produces Chablis?,Rhone,Loire Valley,Burgundy,Muscadet,C,Close! Swirl the glass and give it another go.,Regions and Appellations
Best wine for a long talk at sunset?,Tequila… not wine!,Super Tuscan monster,Pinot Noir,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Styles
What style is Vinho Verde usually known for?,"Heavy, oaky reds",Fortified dessert wines,"Light, crisp whites",Barolo,C,Not quite—Giuseppe says take another sip and try again.,Styles
Orange wine is made by…,Using orange fruit,Blending red/white,Skin-contact white grapes,Muscadet,C,Close! Swirl the glass and give it another go.,Styles
Chianti is dominated by which grape?,Sangiovese,Aglianico,Nebbiolo,Rosé,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What’s the best pairing for laughter?,Silence and spreadsheets,Only bottled water,Good friends and good wine,Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Pairings
What flavor can oak impart?,Black pepper only,Lime leaf,Vanilla,Port,C,Close! Swirl the glass and give it another go.,Styles
‘Sur lie’ aging means aging on the…,Stems,Grape skins,Lees (dead yeast),Barolo,C,Not quite—Giuseppe says take another sip and try again.,Styles
Which grape is classic in Châteauneuf-du-Pape?,Touriga Nacional,Pinotage,Grenache,Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Grapes
Tannins in wine come mostly from…,"Skins, seeds, and oak",Filtration,Fermentation temperature,Pinot Noir,A,Close! Swirl the glass and give it another go.,Styles
What does 'Brut' indicate on sparkling wine?,Dry style,Sweet style,Rosé style,Prosecco,A,Close! Swirl the glass and give it another go.,Classifications
Love at first sniff smells like…,Wild strawberries,Tire rubber,Wet dog,Prosecco,A,Close! Swirl the glass and give it another go.,Styles
"For beach days, Giuseppe brings…",Hot mulled wine,Albariño,Vintage Madeira,Barolo,B,Close! Swirl the glass and give it another go.,Pairings
Which toast wins Giuseppe’s heart?,Prozit!,Salute!,Skål!,Chianti Classico,B,Close! Swirl the glass and give it another go.,Pairings
Sancerre is typically made from which grape?,Sauvignon Blanc,Chardonnay,Chenin Blanc,Cava,A,Close! Swirl the glass and give it another go.,Grapes
What aroma is classic in aged Riesling?,Petrol/honey,Peppercorn,Banana,Prosecco,A,Not quite—Giuseppe says take another sip and try again.,Grapes
The wine for dancing in the kitchen?,Lambrusco,Amontillado,Barolo,Sherry,A,Close! Swirl the glass and give it another go.,Pairings
The wine for dancing in the kitchen?,Barolo,Amontillado,Lambrusco,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Pairings
Love at first sniff smells like…,Tire rubber,Wet dog,Wild strawberries,Pinot Noir,C,Not quite—Giuseppe says take another sip and try again.,Styles
Which grape is classic in Châteauneuf-du-Pape?,Touriga Nacional,Pinotage,Grenache,Rosé,C,Close! Swirl the glass and give it another go.,Grapes
What is typical of Rosé production?,Full skin maceration,No skins used at all,Limited skin contact,Barolo,C,Close! Swirl the glass and give it another go.,Styles
The wine for dancing in the kitchen?,Barolo,Amontillado,Lambrusco,Port,C,Close! Swirl the glass and give it another go.,Pairings
What’s the best pairing for laughter?,Good friends and good wine,Silence and spreadsheets,Only bottled water,Muscadet,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Which toast wins Giuseppe’s heart?,Salute!,Skål!,Prozit!,Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Which wine is typically un-oaked?,Reserva Rioja,Napa Chardonnay,Muscadet,Barolo,C,Not quite—Giuseppe says take another sip and try again.,Styles
His advice for opening night nerves?,Pop a Prosecco,Decant for 6 hours,Hide the bottle,Port,A,Close! Swirl the glass and give it another go.,Styles
Champagne sweetness: which is driest?,Sec,Brut Nature,Demi-sec,Port,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What’s the secret ingredient in hospitality?,A generous pour,A strict rulebook,A loud cork pop,Muscadet,A,Close! Swirl the glass and give it another go.,Pairings
Prosecco uses which production method?,Tank (Charmat),Traditional method,Solera system,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Classifications
Which wine has highest typical tannin?,Beaujolais Nouveau,Barolo,Muscadet,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Styles
What flavor can oak impart?,Lime leaf,Black pepper only,Vanilla,Port,C,Not quite—Giuseppe says take another sip and try again.,Styles
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A brooding Amarone,A 40-year Port,Rosé,A,Close! Swirl the glass and give it another go.,Pairings
The wine for dancing in the kitchen?,Barolo,Lambrusco,Amontillado,Sherry,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What grape dominates Left Bank Bordeaux?,Cabernet Sauvignon,Merlot,Syrah,Rosé,A,Close! Swirl the glass and give it another go.,Regions and Appellations
What does 'Brut' indicate on sparkling wine?,Sweet style,Rosé style,Dry style,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Classifications
Giuseppe’s guilty pleasure snack with bubbles?,Potato chips,Gazpacho,Steak tartare,Rosé,A,Close! Swirl the glass and give it another go.,Pairings
Beaujolais is mostly made from which grape?,Gamay,Syrah,Pinot Noir,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Grapes
Classic Loire Chenin Blanc can be…,Always sparkling,Always fortified,Dry to sweet with high acidity,Muscadet,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Albariño is a specialty of which Spanish region?,Ribera del Duero,Rías Baixas,Priorat,Sauternes,B,Not quite—Giuseppe says take another sip and try again.,Styles
What style is Vinho Verde usually known for?,"Light, crisp whites",Fortified dessert wines,"Heavy, oaky reds",Muscadet,A,Not quite—Giuseppe says take another sip and try again.,Styles
What does Giuseppe say the swirl is for?,Hypnotizing your date,Counting the legs,Letting aromas dance,Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Styles
Where is Priorat?,"Puglia, Italy","Alentejo, Portugal","Catalonia, Spain",Muscadet,C,Close! Swirl the glass and give it another go.,Regions and Appellations
Sauternes is primarily made from…,Sémillon,Sauvignon Gris,Gewürztraminer,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Classic Loire Chenin Blanc can be…,Always fortified,Dry to sweet with high acidity,Always sparkling,Rosé,B,Close! Swirl the glass and give it another go.,Regions and Appellations
Orange wine is made by…,Using orange fruit,Skin-contact white grapes,Blending red/white,Muscadet,B,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s rule on ice in wine?,Only in Champagne,Never ever!,Do what you love,Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Styles
Albariño is a specialty of which Spanish region?,Ribera del Duero,Priorat,Rías Baixas,Cava,C,Not quite—Giuseppe says take another sip and try again.,Styles
Best wine for a long talk at sunset?,Pinot Noir,Super Tuscan monster,Tequila… not wine!,Albariño,A,Close! Swirl the glass and give it another go.,Styles
Provence Rosé is usually…,Fortified,Pale and dry,Deep and sweet,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Which country created Carmenère revival?,Uruguay,Chile,Argentina,Rosé,B,Close! Swirl the glass and give it another go.,Grapes
Which region is famous for Sauvignon Blanc in NZ?,Central Otago,Marlborough,Hawke's Bay,Chianti Classico,B,Not quite—Giuseppe says take another sip and try again.,Grapes
What does 'Brut' indicate on sparkling wine?,Sweet style,Dry style,Rosé style,Cava,B,Not quite—Giuseppe says take another sip and try again.,Classifications
What is typical of Rosé production?,No skins used at all,Limited skin contact,Full skin maceration,Muscadet,B,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s travel essential?,Corkscrew,Fondue set,Spare tie,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Styles
Aglianico is most associated with…,Piedmont/Lombardy,Sicily/Sardinia,Campania/Basilicata,Chianti Classico,C,Not quite—Giuseppe says take another sip and try again.,Grapes
Classic Loire Chenin Blanc can be…,Dry to sweet with high acidity,Always sparkling,Always fortified,Pinot Noir,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Sauternes is primarily made from…,Gewürztraminer,Sauvignon Gris,Sémillon,Rosé,C,Close! Swirl the glass and give it another go.,Regions and Appellations
The wine for dancing in the kitchen?,Amontillado,Lambrusco,Barolo,Rosé,B,Close! Swirl the glass and give it another go.,Pairings
What does 'Brut' indicate on sparkling wine?,Dry style,Rosé style,Sweet style,Port,A,Close! Swirl the glass and give it another go.,Classifications
Giuseppe’s midnight fridge raid finds…,Leftover Vermentino,Mulled wine,Warm Merlot,Albariño,A,Close! Swirl the glass and give it another go.,Pairings
"If a wine is 'corked', it smells like…","Musty, wet cardboard",Clean citrus,Fresh flowers,Sauternes,A,Close! Swirl the glass and give it another go.,Styles
Love at first sniff smells like…,Wild strawberries,Tire rubber,Wet dog,Chianti Classico,A,Not quite—Giuseppe says take another sip and try again.,Styles
Beaujolais is mostly made from which grape?,Gamay,Syrah,Pinot Noir,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Grapes
Classic Loire Chenin Blanc can be…,Always sparkling,Dry to sweet with high acidity,Always fortified,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Grüner Veltliner often shows…,Coffee,Coconut,White pepper,Sauternes,C,Close! Swirl the glass and give it another go.,Grapes
Which wine is typically un-oaked?,Reserva Rioja,Muscadet,Napa Chardonnay,Barolo,B,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s guilty pleasure snack with bubbles?,Potato chips,Gazpacho,Steak tartare,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Tannins in wine come mostly from…,Fermentation temperature,Filtration,"Skins, seeds, and oak",Rosé,C,Not quite—Giuseppe says take another sip and try again.,Styles
What is 'botrytis' known for in wine?,Bacterial spoilage,Sparkling bubbles,Noble rot for sweet wines,Pinot Noir,C,Close! Swirl the glass and give it another go.,Styles
What does Giuseppe call tannins?,Its passport,Its resume,The handshake of a wine,Port,C,Not quite—Giuseppe says take another sip and try again.,Styles
Furmint is a key variety in…,Vinho Verde,Tokaj,Rioja,Cava,B,Close! Swirl the glass and give it another go.,Grapes
Which wine is usually off-dry and low alcohol in Germany?,Kabinett Riesling,Spätburgunder,Silvaner Trocken,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s favorite sound in a quiet room?,A cork sighing,A microwave beep,An ice cube clink,Port,A,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s travel essential?,Spare tie,Corkscrew,Fondue set,Prosecco,B,Close! Swirl the glass and give it another go.,Styles
Most Lambrusco is…,Lightly sparkling red,Fortified rosé,Still white,Pinot Noir,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Rioja is primarily associated with which grape?,Tempranillo,Garnacha,Mazuelo,Muscadet,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Most Lambrusco is…,Fortified rosé,Lightly sparkling red,Still white,Port,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,Sauternes,B,Close! Swirl the glass and give it another go.,Styles
Which toast wins Giuseppe’s heart?,Salute!,Prozit!,Skål!,Barolo,A,Close! Swirl the glass and give it another go.,Pairings
‘Sur lie’ aging means aging on the…,Stems,Lees (dead yeast),Grape skins,Sauternes,B,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s cure for a dreary day?,A flat cola,A burnt espresso,A bright rosé,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Styles
Love at first sniff smells like…,Tire rubber,Wild strawberries,Wet dog,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s travel essential?,Corkscrew,Fondue set,Spare tie,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which wine is usually off-dry and low alcohol in Germany?,Kabinett Riesling,Spätburgunder,Silvaner Trocken,Chianti Classico,A,Close! Swirl the glass and give it another go.,Styles
Which Italian region is Barbaresco from?,Piedmont,Veneto,Tuscany,Prosecco,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Alsace Grand Cru is typically…,Red blends,Fortified dessert reds,Single-varietal whites,Rosé,C,Close! Swirl the glass and give it another go.,Classifications
Where is Priorat?,"Catalonia, Spain","Alentejo, Portugal","Puglia, Italy",Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Aglianico is most associated with…,Piedmont/Lombardy,Sicily/Sardinia,Campania/Basilicata,Chianti Classico,C,Close! Swirl the glass and give it another go.,Grapes
Which toast wins Giuseppe’s heart?,Salute!,Prozit!,Skål!,Cava,A,Close! Swirl the glass and give it another go.,Pairings
Prosecco uses which production method?,Traditional method,Tank (Charmat),Solera system,Sherry,B,Not quite—Giuseppe says take another sip and try again.,Classifications
Love at first sniff smells like…,Tire rubber,Wild strawberries,Wet dog,Rosé,B,Close! Swirl the glass and give it another go.,Styles
Which region is famous for Malbec?,Mendoza,Rioja,Burgundy,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Grapes
What style is Vinho Verde usually known for?,Fortified dessert wines,"Light, crisp whites","Heavy, oaky reds",Prosecco,B,Close! Swirl the glass and give it another go.,Styles
Love at first sniff smells like…,Wild strawberries,Tire rubber,Wet dog,Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Styles
What does decanting an old red help with?,Sediment separation,Raising alcohol,Adding sugar,Port,A,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,Prosecco,B,Close! Swirl the glass and give it another go.,Styles
Which grape is classic in Châteauneuf-du-Pape?,Grenache,Touriga Nacional,Pinotage,Grüner Veltliner,A,Not quite—Giuseppe says take another sip and try again.,Grapes
Grüner Veltliner often shows…,Coconut,White pepper,Coffee,Pinot Noir,B,Close! Swirl the glass and give it another go.,Grapes
Amarone is produced by…,Carbonic maceration,Appassimento (dried grapes),Free-run juice only,Port,B,Close! Swirl the glass and give it another go.,Regions and Appellations
Which grape is classic in Châteauneuf-du-Pape?,Touriga Nacional,Pinotage,Grenache,Sauternes,C,Not quite—Giuseppe says take another sip and try again.,Grapes
Which wine has highest typical tannin?,Barolo,Muscadet,Beaujolais Nouveau,Cava,A,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s midnight fridge raid finds…,Mulled wine,Warm Merlot,Leftover Vermentino,Sherry,C,Close! Swirl the glass and give it another go.,Pairings
Alsace Grand Cru is typically…,Red blends,Single-varietal whites,Fortified dessert reds,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Classifications
What’s the best pairing for laughter?,Only bottled water,Good friends and good wine,Silence and spreadsheets,Prosecco,B,Close! Swirl the glass and give it another go.,Pairings
What’s the secret ingredient in hospitality?,A loud cork pop,A generous pour,A strict rulebook,Rosé,B,Not quite—Giuseppe says take another sip and try again.,Pairings
What glass suits full-bodied reds?,Large bowl,Coupe,Flute,Pinot Noir,A,Not quite—Giuseppe says take another sip and try again.,Styles
Sancerre is typically made from which grape?,Chenin Blanc,Sauvignon Blanc,Chardonnay,Sherry,B,Close! Swirl the glass and give it another go.,Grapes
What’s the secret ingredient in hospitality?,A generous pour,A loud cork pop,A strict rulebook,Pinot Noir,A,Close! Swirl the glass and give it another go.,Pairings
What is 'botrytis' known for in wine?,Noble rot for sweet wines,Bacterial spoilage,Sparkling bubbles,Rosé,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which region is famous for Malbec?,Rioja,Mendoza,Burgundy,Port,B,Close! Swirl the glass and give it another go.,Grapes
Which region is famous for Sauvignon Blanc in NZ?,Central Otago,Marlborough,Hawke's Bay,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Grapes
"For beach days, Giuseppe brings…",Hot mulled wine,Albariño,Vintage Madeira,Pinot Noir,B,Close! Swirl the glass and give it another go.,Pairings
"When the pizza comes, he says…",Bring the Chianti!,Fetch the Sauternes!,Open that Port!,Muscadet,A,Close! Swirl the glass and give it another go.,Pairings
What flavor can oak impart?,Vanilla,Lime leaf,Black pepper only,Chianti Classico,A,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s midnight fridge raid finds…,Leftover Vermentino,Warm Merlot,Mulled wine,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Pairings
What does 'DOCG' stand for?,Denominazione di Origine Controllata e Garantita,Denominazione di Qualità Garantita,Denominazione di Origine Classico Garantito,Port,A,Not quite—Giuseppe says take another sip and try again.,Classifications
What is the base wine style of Port?,Fortified sweet red,Unoaked white,Dry sparkling,Prosecco,A,Not quite—Giuseppe says take another sip and try again.,Styles
Vouvray is made from…,Chenin Blanc,Sauvignon Blanc,Viognier,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What flavor can oak impart?,Lime leaf,Vanilla,Black pepper only,Rosé,B,Close! Swirl the glass and give it another go.,Styles
What style is Vinho Verde usually known for?,Fortified dessert wines,"Light, crisp whites","Heavy, oaky reds",Prosecco,B,Close! Swirl the glass and give it another go.,Styles
Which wine has highest typical tannin?,Beaujolais Nouveau,Muscadet,Barolo,Albariño,C,Close! Swirl the glass and give it another go.,Styles
What pairs with pizza on a Tuesday?,Vintage Port,Sauternes,Sangiovese,Chianti Classico,C,Close! Swirl the glass and give it another go.,Pairings
‘Sur lie’ aging means aging on the…,Lees (dead yeast),Stems,Grape skins,Sherry,A,Not quite—Giuseppe says take another sip and try again.,Styles
Which grape is classic in Châteauneuf-du-Pape?,Grenache,Pinotage,Touriga Nacional,Pinot Noir,A,Not quite—Giuseppe says take another sip and try again.,Grapes
Grüner Veltliner often shows…,White pepper,Coconut,Coffee,Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Grapes
Which toast wins Giuseppe’s heart?,Skål!,Salute!,Prozit!,Sauternes,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Which grape is classic in Châteauneuf-du-Pape?,Pinotage,Touriga Nacional,Grenache,Prosecco,C,Not quite—Giuseppe says take another sip and try again.,Grapes
Sherry can be biologically aged under…,Lees,Botrytis,Flor,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Styles
What does Giuseppe call tannins?,The handshake of a wine,Its passport,Its resume,Pinot Noir,A,Not quite—Giuseppe says take another sip and try again.,Styles
Sancerre is typically made from which grape?,Chenin Blanc,Chardonnay,Sauvignon Blanc,Rosé,C,Close! Swirl the glass and give it another go.,Grapes
What grape dominates Left Bank Bordeaux?,Cabernet Sauvignon,Merlot,Syrah,Chianti Classico,A,Close! Swirl the glass and give it another go.,Regions and Appellations
Giuseppe’s travel essential?,Fondue set,Spare tie,Corkscrew,Albariño,C,Close! Swirl the glass and give it another go.,Styles
Chianti is dominated by which grape?,Aglianico,Nebbiolo,Sangiovese,Muscadet,C,Close! Swirl the glass and give it another go.,Regions and Appellations
Beaujolais is mostly made from which grape?,Gamay,Syrah,Pinot Noir,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Grapes
Sherry can be biologically aged under…,Lees,Flor,Botrytis,Rosé,B,Not quite—Giuseppe says take another sip and try again.,Styles
What is 'carbonic maceration' known for?,High tannin whites,"Juicy, low-tannin reds",Fortified wines,Pinot Noir,B,Close! Swirl the glass and give it another go.,Styles
Vouvray is made from…,Chenin Blanc,Viognier,Sauvignon Blanc,Sherry,A,Close! Swirl the glass and give it another go.,Regions and Appellations
What pairs with pizza on a Tuesday?,Sangiovese,Sauternes,Vintage Port,Cava,A,Close! Swirl the glass and give it another go.,Pairings
What’s the best pairing for laughter?,Only bottled water,Silence and spreadsheets,Good friends and good wine,Rosé,C,Close! Swirl the glass and give it another go.,Pairings
What grape dominates Left Bank Bordeaux?,Cabernet Sauvignon,Syrah,Merlot,Sauternes,A,Close! Swirl the glass and give it another go.,Regions and Appellations
What does 'Brut' indicate on sparkling wine?,Sweet style,Dry style,Rosé style,Barolo,B,Close! Swirl the glass and give it another go.,Classifications
What is the classic pairing for oysters?,Amarone,Muscadet or Champagne,Cabernet Sauvignon,Muscadet,B,Not quite—Giuseppe says take another sip and try again.,Pairings
Giuseppe’s rule on ice in wine?,Only in Champagne,Do what you love,Never ever!,Albariño,B,Not quite—Giuseppe says take another sip and try again.,Styles
"When the pizza comes, he says…",Fetch the Sauternes!,Open that Port!,Bring the Chianti!,Rosé,C,Close! Swirl the glass and give it another go.,Pairings
Sherry can be biologically aged under…,Lees,Flor,Botrytis,Chianti Classico,B,Not quite—Giuseppe says take another sip and try again.,Styles
Giuseppe’s midnight fridge raid finds…,Leftover Vermentino,Mulled wine,Warm Merlot,Cava,A,Close! Swirl the glass and give it another go.,Pairings
His advice for opening night nerves?,Decant for 6 hours,Pop a Prosecco,Hide the bottle,Albariño,B,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s guilty pleasure snack with bubbles?,Potato chips,Gazpacho,Steak tartare,Rosé,A,Not quite—Giuseppe says take another sip and try again.,Pairings
Furmint is a key variety in…,Vinho Verde,Tokaj,Rioja,Pinot Noir,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Which region produces Chablis?,Burgundy,Loire Valley,Rhone,Port,A,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Grüner Veltliner often shows…,Coconut,Coffee,White pepper,Cava,C,Close! Swirl the glass and give it another go.,Grapes
What is 'botrytis' known for in wine?,Bacterial spoilage,Sparkling bubbles,Noble rot for sweet wines,Barolo,C,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s guilty pleasure snack with bubbles?,Potato chips,Steak tartare,Gazpacho,Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Pairings
What style is Vinho Verde usually known for?,"Light, crisp whites","Heavy, oaky reds",Fortified dessert wines,Grüner Veltliner,A,Close! Swirl the glass and give it another go.,Styles
"If a wine is 'corked', it smells like…",Fresh flowers,Clean citrus,"Musty, wet cardboard",Sherry,C,Not quite—Giuseppe says take another sip and try again.,Styles
His advice for opening night nerves?,Pop a Prosecco,Hide the bottle,Decant for 6 hours,Barolo,A,Not quite—Giuseppe says take another sip and try again.,Styles
Beaujolais is mostly made from which grape?,Pinot Noir,Gamay,Syrah,Sauternes,B,Not quite—Giuseppe says take another sip and try again.,Grapes
Sherry can be biologically aged under…,Botrytis,Lees,Flor,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Styles
"When the pizza comes, he says…",Bring the Chianti!,Open that Port!,Fetch the Sauternes!,Sherry,A,Close! Swirl the glass and give it another go.,Pairings
Sancerre is typically made from which grape?,Chenin Blanc,Sauvignon Blanc,Chardonnay,Sauternes,B,Close! Swirl the glass and give it another go.,Grapes
Albariño is a specialty of which Spanish region?,Rías Baixas,Priorat,Ribera del Duero,Sauternes,A,Not quite—Giuseppe says take another sip and try again.,Styles
What does Giuseppe call tannins?,Its resume,Its passport,The handshake of a wine,Barolo,C,Close! Swirl the glass and give it another go.,Styles
Giuseppe’s rule on ice in wine?,Only in Champagne,Do what you love,Never ever!,Grüner Veltliner,B,Not quite—Giuseppe says take another sip and try again.,Styles
Which wine is typically un-oaked?,Napa Chardonnay,Reserva Rioja,Muscadet,Pinot Noir,C,Not quite—Giuseppe says take another sip and try again.,Styles
What style is Vinho Verde usually known for?,"Heavy, oaky reds",Fortified dessert wines,"Light, crisp whites",Cava,C,Close! Swirl the glass and give it another go.,Styles
What’s the best pairing for laughter?,Silence and spreadsheets,Only bottled water,Good friends and good wine,Sherry,C,Not quite—Giuseppe says take another sip and try again.,Pairings
What does Giuseppe call tannins?,Its passport,Its resume,The handshake of a wine,Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Styles
Which toast wins Giuseppe’s heart?,Prozit!,Skål!,Salute!,Muscadet,C,Close! Swirl the glass and give it another go.,Pairings
What is typical of Rosé production?,Limited skin contact,No skins used at all,Full skin maceration,Albariño,A,Not quite—Giuseppe says take another sip and try again.,Styles
Classic Loire Chenin Blanc can be…,Always sparkling,Always fortified,Dry to sweet with high acidity,Grüner Veltliner,C,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
Love at first sniff smells like…,Tire rubber,Wet dog,Wild strawberries,Sherry,C,Close! Swirl the glass and give it another go.,Styles
Vouvray is made from…,Sauvignon Blanc,Chenin Blanc,Viognier,Port,B,Close! Swirl the glass and give it another go.,Regions and Appellations
Rioja is primarily associated with which grape?,Mazuelo,Tempranillo,Garnacha,Sherry,B,Not quite—Giuseppe says take another sip and try again.,Regions and Appellations
What does Giuseppe say the swirl is for?,Hypnotizing your date,Counting the legs,Letting aromas dance,Rosé,C,Not quite—Giuseppe says take another sip and try again.,Styles
What is the main grape in Brunello di Montalcino?,Barbera,Sangiovese,Nebbiolo,Sauternes,B,Close! Swirl the glass and give it another go.,Grapes
What does Giuseppe call tannins?,Its passport,The handshake of a wine,Its resume,Pinot Noir,B,Close! Swirl the glass and give it another go.,Styles
"When the pizza comes, he says…",Bring the Chianti!,Fetch the Sauternes!,Open that Port!,Muscadet,A,Close! Swirl the glass and give it another go.,Pairings
Giuseppe’s cure for a dreary day?,A bright rosé,A burnt espresso,A flat cola,Pinot Noir,A,Close! Swirl the glass and give it another go.,Styles
Orange wine is made by…,Blending red/white,Using orange fruit,Skin-contact white grapes,Sauternes,C,Close! Swirl the glass and give it another go.,Styles
What is the main grape in Brunello di Montalcino?,Nebbiolo,Sangiovese,Barbera,Muscadet,B,Close! Swirl the glass and give it another go.,Grapes
Aglianico is most associated with…,Campania/Basilicata,Piedmont/Lombardy,Sicily/Sardinia,Sherry,A,Close! Swirl the glass and give it another go.,Grapes
Furmint is a key variety in…,Rioja,Tokaj,Vinho Verde,Grüner Veltliner,B,Close! Swirl the glass and give it another go.,Grapes
What does 'riserva' (Italy) generally signal?,Longer aging,Higher sweetness,Lower alcohol,Rosé,A,Close! Swirl the glass and give it another go.,Styles
What does 'riserva' (Italy) generally signal?,Longer aging,Lower alcohol,Higher sweetness,Prosecco,A,Not quite—Giuseppe says take another sip and try again.,Styles
