question,option_a,option_b,option_c,correct_answer
Rioja is primarily associated with which grape?,Garnacha,Mazuelo,Tempranillo,C
Chianti is dominated by which grape?,Aglianico,Nebbiolo,Sangiovese,C
Champagne sweetness: which is driest?,Sec,Brut Nature,Demi-sec,B
What pairs with pizza on a Tuesday?,Vintage Port,Sangiovese,Sauternes,B
His advice for opening night nerves?,Decant for 6 hours,Pop a Prosecco,Hide the bottle,B
What does Giuseppe call tannins?,The handshake of a wine,Its resume,Its passport,A
Rioja is primarily associated with which grape?,Tempranillo,Mazuelo,Garnacha,A
Which climate tends to give higher acidity?,Hot climate,Arid desert,Cool climate,C
Which wine has highest typical tannin?,Muscadet,Beaujolais Nouveau,Barolo,C
Sancerre is typically made from which grape?,Chenin Blanc,Chardonnay,Sauvignon Blanc,C
What is typical of Rosé production?,Full skin maceration,No skins used at all,Limited skin contact,C
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A 40-year Port,A brooding Amarone,A
Most Lambrusco is…,Still white,Fortified rosé,Lightly sparkling red,C
Which region produces Chablis?,Loire Valley,Burgundy,Rhone,B
What aroma is classic in aged Riesling?,Banana,Peppercorn,Petrol/honey,C
What is 'carbonic maceration' known for?,Fortified wines,High tannin whites,"Juicy, low-tannin reds",C
Sherry can be biologically aged under…,Lees,Botrytis,Flor,C
Beaujolais is mostly made from which grape?,Syrah,Pinot Noir,Gamay,C
Chianti is dominated by which grape?,Nebbiolo,Sangiovese,Aglianico,B
What pairs with pizza on a Tuesday?,Sangiovese,Vintage Port,Sauternes,A
"When the pizza comes, he says…",Bring the Chianti!,Open that Port!,Fetch the Sauternes!,A
Which grape makes Barolo?,Montepulciano,Nebbiolo,Sangiovese,B
Classic Loire Chenin Blanc can be…,Dry to sweet with high acidity,Always sparkling,Always fortified,A
‘Sur lie’ aging means aging on the…,Grape skins,Lees (dead yeast),Stems,B
Furmint is a key variety in…,Vinho Verde,Rioja,Tokaj,C
Giuseppe’s cure for a dreary day?,A bright rosé,A flat cola,A burnt espresso,A
Orange wine is made by…,Using orange fruit,Blending red/white,Skin-contact white grapes,C
What glass suits full-bodied reds?,Large bowl,Coupe,Flute,A
What does decanting an old red help with?,Adding sugar,Raising alcohol,Sediment separation,C
What is 'botrytis' known for in wine?,Noble rot for sweet wines,Bacterial spoilage,Sparkling bubbles,A
Tannins in wine come mostly from…,Filtration,Fermentation temperature,"Skins, seeds, and oak",C
Rioja is primarily associated with which grape?,Mazuelo,Tempranillo,Garnacha,B
Which region is famous for Sauvignon Blanc in NZ?,Marlborough,Central Otago,Hawke's Bay,A
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A brooding Amarone,A 40-year Port,A
Sherry can be biologically aged under…,Botrytis,Lees,Flor,C
Which wine is typically un-oaked?,Napa Chardonnay,Reserva Rioja,Muscadet,C
Giuseppe’s midnight fridge raid finds…,Leftover Vermentino,Warm Merlot,Mulled wine,A
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,B
Giuseppe’s midnight fridge raid finds…,Leftover Vermentino,Mulled wine,Warm Merlot,A
Giuseppe’s favorite sound in a quiet room?,A microwave beep,A cork sighing,An ice cube clink,B
Albariño is a specialty of which Spanish region?,Priorat,Rías Baixas,Ribera del Duero,B
Giuseppe’s travel essential?,Spare tie,Fondue set,Corkscrew,C
What’s the secret ingredient in hospitality?,A loud cork pop,A strict rulebook,A generous pour,C
Sancerre is typically made from which grape?,Chardonnay,Sauvignon Blanc,Chenin Blanc,B
What’s the best pairing for laughter?,Good friends and good wine,Only bottled water,Silence and spreadsheets,A
Where is Priorat?,"Puglia, Italy","Alentejo, Portugal","Catalonia, Spain",C
What does Giuseppe call tannins?,The handshake of a wine,Its resume,Its passport,A
What’s the secret ingredient in hospitality?,A strict rulebook,A generous pour,A loud cork pop,B
What is the classic pairing for oysters?,Muscadet or Champagne,Amarone,Cabernet Sauvignon,A
Which wine is typically un-oaked?,Muscadet,Reserva Rioja,Napa Chardonnay,A
What is the main grape in Brunello di Montalcino?,Barbera,Sangiovese,Nebbiolo,B
Provence Rosé is usually…,Deep and sweet,Fortified,Pale and dry,C
Sauternes is primarily made from…,Gewürztraminer,Sauvignon Gris,Sémillon,C
What aroma is classic in aged Riesling?,Banana,Petrol/honey,Peppercorn,B
What aroma is classic in aged Riesling?,Banana,Petrol/honey,Peppercorn,B
What’s the secret ingredient in hospitality?,A strict rulebook,A generous pour,A loud cork pop,B
The wine for dancing in the kitchen?,Lambrusco,Barolo,Amontillado,A
What grape dominates Left Bank Bordeaux?,Cabernet Sauvignon,Merlot,Syrah,A
Which region is famous for Malbec?,Mendoza,Burgundy,Rioja,A
What does 'Brut' indicate on sparkling wine?,Dry style,Rosé style,Sweet style,A
What is the classic pairing for oysters?,Muscadet or Champagne,Cabernet Sauvignon,Amarone,A
Classic Loire Chenin Blanc can be…,Dry to sweet with high acidity,Always sparkling,Always fortified,A
Which region produces Chablis?,Loire Valley,Burgundy,Rhone,B
What does 'riserva' (Italy) generally signal?,Lower alcohol,Longer aging,Higher sweetness,B
What does 'DOCG' stand for?,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,Denominazione di Origine Controllata e Garantita,C
What’s the best pairing for laughter?,Good friends and good wine,Only bottled water,Silence and spreadsheets,A
What is the base wine style of Port?,Fortified sweet red,Unoaked white,Dry sparkling,A
What is the classic pairing for oysters?,Cabernet Sauvignon,Amarone,Muscadet or Champagne,C
What is the base wine style of Port?,Dry sparkling,Fortified sweet red,Unoaked white,B
Which climate tends to give higher acidity?,Cool climate,Hot climate,Arid desert,A
"For beach days, Giuseppe brings…",Albariño,Vintage Madeira,Hot mulled wine,A
Which grape makes Barolo?,Sangiovese,Nebbiolo,Montepulciano,B
Which grape makes Barolo?,Sangiovese,Nebbiolo,Montepulciano,B
Beaujolais is mostly made from which grape?,Pinot Noir,Gamay,Syrah,B
"When the pizza comes, he says…",Bring the Chianti!,Fetch the Sauternes!,Open that Port!,A
"If Giuseppe brings wine to a picnic, what’s likely?",A brooding Amarone,A cheerful Chianti,A 40-year Port,B
What does 'riserva' (Italy) generally signal?,Higher sweetness,Longer aging,Lower alcohol,B
Love at first sniff smells like…,Wet dog,Tire rubber,Wild strawberries,C
What grape dominates Left Bank Bordeaux?,Syrah,Cabernet Sauvignon,Merlot,B
"If pasta is al dente, wine should be…",Boiling hot,Flat and sleepy,Al dente in spirit: lively,C
What does Giuseppe say the swirl is for?,Hypnotizing your date,Letting aromas dance,Counting the legs,B
Which Italian region is Barbaresco from?,Tuscany,Veneto,Piedmont,C
"For beach days, Giuseppe brings…",Albariño,Hot mulled wine,Vintage Madeira,A
What is typical of Rosé production?,No skins used at all,Full skin maceration,Limited skin contact,C
Orange wine is made by…,Skin-contact white grapes,Using orange fruit,Blending red/white,A
What style is Vinho Verde usually known for?,Fortified dessert wines,"Light, crisp whites","Heavy, oaky reds",B
Alsace Grand Cru is typically…,Single-varietal whites,Fortified dessert reds,Red blends,A
Albariño is a specialty of which Spanish region?,Rías Baixas,Priorat,Ribera del Duero,A
What is the classic pairing for oysters?,Cabernet Sauvignon,Amarone,Muscadet or Champagne,C
Grüner Veltliner often shows…,White pepper,Coffee,Coconut,A
Giuseppe’s guilty pleasure snack with bubbles?,Potato chips,Gazpacho,Steak tartare,A
Aglianico is most associated with…,Piedmont/Lombardy,Sicily/Sardinia,Campania/Basilicata,C
Beaujolais is mostly made from which grape?,Pinot Noir,Syrah,Gamay,C
Which wine is usually off-dry and low alcohol in Germany?,Spätburgunder,Kabinett Riesling,Silvaner Trocken,B
What pairs with pizza on a Tuesday?,Sauternes,Sangiovese,Vintage Port,B
Sauternes is primarily made from…,Sémillon,Gewürztraminer,Sauvignon Gris,A
What does Giuseppe call tannins?,Its resume,The handshake of a wine,Its passport,B
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Mulled wine,Leftover Vermentino,C
What pairs with pizza on a Tuesday?,Sangiovese,Vintage Port,Sauternes,A
"For beach days, Giuseppe brings…",Hot mulled wine,Vintage Madeira,Albariño,C
Which toast wins Giuseppe’s heart?,Prozit!,Skål!,Salute!,C
Which region is famous for Malbec?,Rioja,Burgundy,Mendoza,C
Love at first sniff smells like…,Wet dog,Wild strawberries,Tire rubber,B
What flavor can oak impart?,Vanilla,Lime leaf,Black pepper only,A
Which wine is usually off-dry and low alcohol in Germany?,Spätburgunder,Silvaner Trocken,Kabinett Riesling,C
What does 'riserva' (Italy) generally signal?,Lower alcohol,Higher sweetness,Longer aging,C
What does 'Brut' indicate on sparkling wine?,Dry style,Sweet style,Rosé style,A
Best wine for a long talk at sunset?,Super Tuscan monster,Pinot Noir,Tequila… not wine!,B
Champagne sweetness: which is driest?,Brut Nature,Sec,Demi-sec,A
His advice for opening night nerves?,Decant for 6 hours,Pop a Prosecco,Hide the bottle,B
"If a wine is 'corked', it smells like…",Clean citrus,"Musty, wet cardboard",Fresh flowers,B
What does 'Brut' indicate on sparkling wine?,Sweet style,Rosé style,Dry style,C
What’s the best pairing for laughter?,Only bottled water,Silence and spreadsheets,Good friends and good wine,C
What is typical of Rosé production?,No skins used at all,Limited skin contact,Full skin maceration,B
Aglianico is most associated with…,Sicily/Sardinia,Piedmont/Lombardy,Campania/Basilicata,C
Which region produces Chablis?,Rhone,Loire Valley,Burgundy,C
Giuseppe’s travel essential?,Fondue set,Spare tie,Corkscrew,C
Sherry can be biologically aged under…,Flor,Botrytis,Lees,A
What pairs with pizza on a Tuesday?,Vintage Port,Sangiovese,Sauternes,B
What’s the secret ingredient in hospitality?,A generous pour,A strict rulebook,A loud cork pop,A
What is the base wine style of Port?,Unoaked white,Fortified sweet red,Dry sparkling,B
Prosecco uses which production method?,Tank (Charmat),Traditional method,Solera system,A
Giuseppe’s guilty pleasure snack with bubbles?,Gazpacho,Potato chips,Steak tartare,B
Giuseppe’s rule on ice in wine?,Do what you love,Only in Champagne,Never ever!,A
Which country created Carmenère revival?,Chile,Uruguay,Argentina,A
Provence Rosé is usually…,Pale and dry,Deep and sweet,Fortified,A
What aroma is classic in aged Riesling?,Peppercorn,Banana,Petrol/honey,C
"If a wine is 'corked', it smells like…",Clean citrus,Fresh flowers,"Musty, wet cardboard",C
What’s the best pairing for laughter?,Silence and spreadsheets,Only bottled water,Good friends and good wine,C
"When the pizza comes, he says…",Fetch the Sauternes!,Bring the Chianti!,Open that Port!,B
What aroma is classic in aged Riesling?,Petrol/honey,Banana,Peppercorn,A
Which wine is usually off-dry and low alcohol in Germany?,Kabinett Riesling,Silvaner Trocken,Spätburgunder,A
Amarone is produced by…,Appassimento (dried grapes),Free-run juice only,Carbonic maceration,A
Love at first sniff smells like…,Tire rubber,Wild strawberries,Wet dog,B
What does 'DOCG' stand for?,Denominazione di Origine Classico Garantito,Denominazione di Origine Controllata e Garantita,Denominazione di Qualità Garantita,B
What does decanting an old red help with?,Raising alcohol,Adding sugar,Sediment separation,C
What aroma is classic in aged Riesling?,Petrol/honey,Banana,Peppercorn,A
Vouvray is made from…,Viognier,Sauvignon Blanc,Chenin Blanc,C
Sauternes is primarily made from…,Sémillon,Sauvignon Gris,Gewürztraminer,A
The wine for dancing in the kitchen?,Amontillado,Barolo,Lambrusco,C
"When the pizza comes, he says…",Bring the Chianti!,Fetch the Sauternes!,Open that Port!,A
What is 'carbonic maceration' known for?,Fortified wines,High tannin whites,"Juicy, low-tannin reds",C
Which wine is typically un-oaked?,Napa Chardonnay,Reserva Rioja,Muscadet,C
Giuseppe’s guilty pleasure snack with bubbles?,Steak tartare,Potato chips,Gazpacho,B
What glass suits full-bodied reds?,Large bowl,Coupe,Flute,A
What’s the best pairing for laughter?,Only bottled water,Good friends and good wine,Silence and spreadsheets,B
Giuseppe’s guilty pleasure snack with bubbles?,Potato chips,Steak tartare,Gazpacho,A
"For beach days, Giuseppe brings…",Vintage Madeira,Albariño,Hot mulled wine,B
Beaujolais is mostly made from which grape?,Gamay,Pinot Noir,Syrah,A
Which climate tends to give higher acidity?,Arid desert,Cool climate,Hot climate,B
Sherry can be biologically aged under…,Flor,Lees,Botrytis,A
Giuseppe’s cure for a dreary day?,A flat cola,A burnt espresso,A bright rosé,C
Provence Rosé is usually…,Deep and sweet,Fortified,Pale and dry,C
Grüner Veltliner often shows…,Coffee,Coconut,White pepper,C
What is 'botrytis' known for in wine?,Noble rot for sweet wines,Sparkling bubbles,Bacterial spoilage,A
Giuseppe’s cure for a dreary day?,A bright rosé,A flat cola,A burnt espresso,A
Which climate tends to give higher acidity?,Hot climate,Arid desert,Cool climate,C
What does Giuseppe say the swirl is for?,Hypnotizing your date,Letting aromas dance,Counting the legs,B
Which country created Carmenère revival?,Argentina,Chile,Uruguay,B
The wine for dancing in the kitchen?,Lambrusco,Amontillado,Barolo,A
Which toast wins Giuseppe’s heart?,Prozit!,Salute!,Skål!,B
What does 'riserva' (Italy) generally signal?,Longer aging,Higher sweetness,Lower alcohol,A
Giuseppe’s rule on ice in wine?,Never ever!,Only in Champagne,Do what you love,C
Giuseppe’s midnight fridge raid finds…,Leftover Vermentino,Mulled wine,Warm Merlot,A
What grape dominates Left Bank Bordeaux?,Syrah,Merlot,Cabernet Sauvignon,C
Rioja is primarily associated with which grape?,Tempranillo,Mazuelo,Garnacha,A
What does Giuseppe call tannins?,Its passport,The handshake of a wine,Its resume,B
Giuseppe’s guilty pleasure snack with bubbles?,Steak tartare,Potato chips,Gazpacho,B
Beaujolais is mostly made from which grape?,Syrah,Pinot Noir,Gamay,C
Champagne sweetness: which is driest?,Brut Nature,Demi-sec,Sec,A
Beaujolais is mostly made from which grape?,Gamay,Pinot Noir,Syrah,A
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A brooding Amarone,A 40-year Port,A
What does 'riserva' (Italy) generally signal?,Lower alcohol,Longer aging,Higher sweetness,B
Giuseppe’s travel essential?,Spare tie,Fondue set,Corkscrew,C
"When the pizza comes, he says…",Bring the Chianti!,Fetch the Sauternes!,Open that Port!,A
Grüner Veltliner often shows…,Coconut,White pepper,Coffee,B
Best wine for a long talk at sunset?,Super Tuscan monster,Tequila… not wine!,Pinot Noir,C
Which region produces Chablis?,Burgundy,Loire Valley,Rhone,A
Giuseppe’s cure for a dreary day?,A flat cola,A bright rosé,A burnt espresso,B
Grüner Veltliner often shows…,Coffee,White pepper,Coconut,B
Which region produces Chablis?,Loire Valley,Rhone,Burgundy,C
What’s the secret ingredient in hospitality?,A loud cork pop,A generous pour,A strict rulebook,B
Alsace Grand Cru is typically…,Red blends,Fortified dessert reds,Single-varietal whites,C
What does 'Brut' indicate on sparkling wine?,Sweet style,Rosé style,Dry style,C
What is the base wine style of Port?,Dry sparkling,Fortified sweet red,Unoaked white,B
His advice for opening night nerves?,Hide the bottle,Decant for 6 hours,Pop a Prosecco,C
Champagne sweetness: which is driest?,Sec,Brut Nature,Demi-sec,B
What aroma is classic in aged Riesling?,Petrol/honey,Banana,Peppercorn,A
Giuseppe’s favorite sound in a quiet room?,A microwave beep,An ice cube clink,A cork sighing,C
What is 'carbonic maceration' known for?,"Juicy, low-tannin reds",High tannin whites,Fortified wines,A
Love at first sniff smells like…,Tire rubber,Wet dog,Wild strawberries,C
What’s the secret ingredient in hospitality?,A generous pour,A loud cork pop,A strict rulebook,A
What does 'DOCG' stand for?,Denominazione di Origine Controllata e Garantita,Denominazione di Origine Classico Garantito,Denominazione di Qualità Garantita,A
What is 'carbonic maceration' known for?,"Juicy, low-tannin reds",High tannin whites,Fortified wines,A
Which toast wins Giuseppe’s heart?,Salute!,Prozit!,Skål!,A
"If pasta is al dente, wine should be…",Flat and sleepy,Al dente in spirit: lively,Boiling hot,B
Chianti is dominated by which grape?,Nebbiolo,Sangiovese,Aglianico,B
What is 'carbonic maceration' known for?,High tannin whites,"Juicy, low-tannin reds",Fortified wines,B
What is the main grape in Brunello di Montalcino?,Barbera,Nebbiolo,Sangiovese,C
Which wine has highest typical tannin?,Muscadet,Barolo,Beaujolais Nouveau,B
Vouvray is made from…,Sauvignon Blanc,Chenin Blanc,Viognier,B
What is typical of Rosé production?,Limited skin contact,Full skin maceration,No skins used at all,A
Chianti is dominated by which grape?,Aglianico,Sangiovese,Nebbiolo,B
What is 'carbonic maceration' known for?,Fortified wines,"Juicy, low-tannin reds",High tannin whites,B
Which country created Carmenère revival?,Chile,Uruguay,Argentina,A
What flavor can oak impart?,Lime leaf,Vanilla,Black pepper only,B
Which Italian region is Barbaresco from?,Piedmont,Veneto,Tuscany,A
"For beach days, Giuseppe brings…",Hot mulled wine,Vintage Madeira,Albariño,C
His advice for opening night nerves?,Decant for 6 hours,Hide the bottle,Pop a Prosecco,C
Classic Loire Chenin Blanc can be…,Always fortified,Dry to sweet with high acidity,Always sparkling,B
"If a wine is 'corked', it smells like…","Musty, wet cardboard",Clean citrus,Fresh flowers,A
What grape dominates Left Bank Bordeaux?,Syrah,Cabernet Sauvignon,Merlot,B
Aglianico is most associated with…,Piedmont/Lombardy,Campania/Basilicata,Sicily/Sardinia,B
Tannins in wine come mostly from…,Filtration,Fermentation temperature,"Skins, seeds, and oak",C
His advice for opening night nerves?,Decant for 6 hours,Hide the bottle,Pop a Prosecco,C
What’s the best pairing for laughter?,Good friends and good wine,Only bottled water,Silence and spreadsheets,A
Giuseppe’s midnight fridge raid finds…,Warm Merlot,Leftover Vermentino,Mulled wine,B
Which region is famous for Malbec?,Rioja,Mendoza,Burgundy,B
What aroma is classic in aged Riesling?,Petrol/honey,Banana,Peppercorn,A
Best wine for a long talk at sunset?,Super Tuscan monster,Pinot Noir,Tequila… not wine!,B
What is the main grape in Brunello di Montalcino?,Barbera,Sangiovese,Nebbiolo,B
What grape dominates Left Bank Bordeaux?,Syrah,Cabernet Sauvignon,Merlot,B
Giuseppe’s favorite sound in a quiet room?,An ice cube clink,A microwave beep,A cork sighing,C
"If pasta is al dente, wine should be…",Flat and sleepy,Boiling hot,Al dente in spirit: lively,C
Furmint is a key variety in…,Vinho Verde,Tokaj,Rioja,B
Giuseppe’s cure for a dreary day?,A bright rosé,A burnt espresso,A flat cola,A
What does 'DOCG' stand for?,Denominazione di Origine Classico Garantito,Denominazione di Origine Controllata e Garantita,Denominazione di Qualità Garantita,B
Which region is famous for Sauvignon Blanc in NZ?,Central Otago,Marlborough,Hawke's Bay,B
"When the pizza comes, he says…",Bring the Chianti!,Fetch the Sauternes!,Open that Port!,A
"For beach days, Giuseppe brings…",Hot mulled wine,Albariño,Vintage Madeira,B
Champagne sweetness: which is driest?,Demi-sec,Brut Nature,Sec,B
Chianti is dominated by which grape?,Aglianico,Nebbiolo,Sangiovese,C
Sherry can be biologically aged under…,Flor,Lees,Botrytis,A
What pairs with pizza on a Tuesday?,Sangiovese,Sauternes,Vintage Port,A
His advice for opening night nerves?,Pop a Prosecco,Hide the bottle,Decant for 6 hours,A
The wine for dancing in the kitchen?,Barolo,Lambrusco,Amontillado,B
Giuseppe’s guilty pleasure snack with bubbles?,Potato chips,Gazpacho,Steak tartare,A
Giuseppe’s cure for a dreary day?,A flat cola,A burnt espresso,A bright rosé,C
What’s the secret ingredient in hospitality?,A generous pour,A loud cork pop,A strict rulebook,A
Sancerre is typically made from which grape?,Sauvignon Blanc,Chardonnay,Chenin Blanc,A
Giuseppe’s rule on ice in wine?,Never ever!,Only in Champagne,Do what you love,C
Orange wine is made by…,Blending red/white,Using orange fruit,Skin-contact white grapes,C
Which Italian region is Barbaresco from?,Piedmont,Tuscany,Veneto,A
Sauternes is primarily made from…,Sauvignon Gris,Sémillon,Gewürztraminer,B
What does Giuseppe call tannins?,Its passport,Its resume,The handshake of a wine,C
Orange wine is made by…,Skin-contact white grapes,Using orange fruit,Blending red/white,A
What food is a friendly match with Pinot Noir?,Caramel flan,Spicy curry,Salmon,C
What aroma is classic in aged Riesling?,Peppercorn,Petrol/honey,Banana,B
Which region is famous for Sauvignon Blanc in NZ?,Hawke's Bay,Marlborough,Central Otago,B
What pairs with pizza on a Tuesday?,Vintage Port,Sauternes,Sangiovese,C
What does Giuseppe call tannins?,Its passport,The handshake of a wine,Its resume,B
Love at first sniff smells like…,Wet dog,Wild strawberries,Tire rubber,B
Champagne sweetness: which is driest?,Demi-sec,Sec,Brut Nature,C
"If Giuseppe brings wine to a picnic, what’s likely?",A 40-year Port,A cheerful Chianti,A brooding Amarone,B
The wine for dancing in the kitchen?,Lambrusco,Barolo,Amontillado,A
Sherry can be biologically aged under…,Lees,Botrytis,Flor,C
Orange wine is made by…,Using orange fruit,Blending red/white,Skin-contact white grapes,C
Giuseppe’s rule on ice in wine?,Never ever!,Only in Champagne,Do what you love,C
What does Giuseppe call tannins?,The handshake of a wine,Its passport,Its resume,A
Which wine has highest typical tannin?,Barolo,Muscadet,Beaujolais Nouveau,A
"If pasta is al dente, wine should be…",Flat and sleepy,Boiling hot,Al dente in spirit: lively,C
Love at first sniff smells like…,Wild strawberries,Tire rubber,Wet dog,A
What does 'riserva' (Italy) generally signal?,Higher sweetness,Lower alcohol,Longer aging,C
Rioja is primarily associated with which grape?,Garnacha,Tempranillo,Mazuelo,B
Giuseppe’s cure for a dreary day?,A bright rosé,A flat cola,A burnt espresso,A
Sauternes is primarily made from…,Sémillon,Gewürztraminer,Sauvignon Gris,A
What does decanting an old red help with?,Raising alcohol,Sediment separation,Adding sugar,B
"If Giuseppe brings wine to a picnic, what’s likely?",A cheerful Chianti,A brooding Amarone,A 40-year Port,A
What flavor can oak impart?,Black pepper only,Vanilla,Lime leaf,B
What aroma is classic in aged Riesling?,Peppercorn,Petrol/honey,Banana,B
What’s the secret ingredient in hospitality?,A strict rulebook,A loud cork pop,A generous pour,C
"If pasta is al dente, wine should be…",Al dente in spirit: lively,Flat and sleepy,Boiling hot,A
"If a wine is 'corked', it smells like…","Musty, wet cardboard",Fresh flowers,Clean citrus,A
Giuseppe’s cure for a dreary day?,A burnt espresso,A bright rosé,A flat cola,B
Giuseppe’s rule on ice in wine?,Never ever!,Only in Champagne,Do what you love,C
Champagne sweetness: which is driest?,Demi-sec,Sec,Brut Nature,C
Giuseppe’s rule on ice in wine?,Only in Champagne,Do what you love,Never ever!,B
Which grape is classic in Châteauneuf-du-Pape?,Pinotage,Touriga Nacional,Grenache,C
Giuseppe’s travel essential?,Fondue set,Spare tie,Corkscrew,C
What’s the best pairing for laughter?,Good friends and good wine,Only bottled water,Silence and spreadsheets,A
Giuseppe’s favorite sound in a quiet room?,An ice cube clink,A cork sighing,A microwave beep,B
Which toast wins Giuseppe’s heart?,Prozit!,Skål!,Salute!,C
Vouvray is made from…,Viognier,Chenin Blanc,Sauvignon Blanc,B
Which Italian region is Barbaresco from?,Piedmont,Veneto,Tuscany,A
Giuseppe’s travel essential?,Corkscrew,Spare tie,Fondue set,A
Which climate tends to give higher acidity?,Arid desert,Cool climate,Hot climate,B
What grape dominates Left Bank Bordeaux?,Merlot,Syrah,Cabernet Sauvignon,C
"If Giuseppe brings wine to a picnic, what’s likely?",A 40-year Port,A brooding Amarone,A cheerful Chianti,C
Which toast wins Giuseppe’s heart?,Skål!,Salute!,Prozit!,B
Prosecco uses which production method?,Solera system,Traditional method,Tank (Charmat),C
Giuseppe’s guilty pleasure snack with bubbles?,Gazpacho,Potato chips,Steak tartare,B
Aglianico is most associated with…,Piedmont/Lombardy,Campania/Basilicata,Sicily/Sardinia,B
Chianti is dominated by which grape?,Aglianico,Nebbiolo,Sangiovese,C
What’s the best pairing for laughter?,Only bottled water,Silence and spreadsheets,Good friends and good wine,C
Which region produces Chablis?,Burgundy,Loire Valley,Rhone,A
Which region is famous for Sauvignon Blanc in NZ?,Central Otago,Marlborough,Hawke's Bay,B
What aroma is classic in aged Riesling?,Banana,Peppercorn,Petrol/honey,C
What does Giuseppe say the swirl is for?,Letting aromas dance,Hypnotizing your date,Counting the legs,A
Beaujolais is mostly made from which grape?,Gamay,Pinot Noir,Syrah,A
Which region produces Chablis?,Loire Valley,Burgundy,Rhone,B
Love at first sniff smells like…,Wild strawberries,Tire rubber,Wet dog,A
Giuseppe’s rule on ice in wine?,Never ever!,Only in Champagne,Do what you love,C
Best wine for a long talk at sunset?,Super Tuscan monster,Pinot Noir,Tequila… not wine!,B
Grüner Veltliner often shows…,Coffee,White pepper,Coconut,B
Which grape is classic in Châteauneuf-du-Pape?,Grenache,Touriga Nacional,Pinotage,A
Which region is famous for Malbec?,Burgundy,Rioja,Mendoza,C
Giuseppe’s rule on ice in wine?,Do what you love,Never ever!,Only in Champagne,A
Provence Rosé is usually…,Pale and dry,Deep and sweet,Fortified,A
